Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
Prabowo Bangga Indonesia Jadi Negara Besar yang Tak Pernah Gagal Bayar Utang,"JAKARTA, KOMPAS.com - Presiden Prabowo Subianto bangga Indonesia tidak pernah gagal bayar utang (default) meski menjadi negara yang besar.Padahal banyak negara lain yang berkali-kali gagal, bahkan kegagalannya mencapai 10-13 kali.Hal ini dikatakan Prabowo saat memberikan pengarahan dalam Pertemuan Tahunan Bank Indonesia (PTBI) di Kompleks Bank Indonesia, Jakarta Pusat, Jumat (29/11/2024).""Saya bangga kenapa? Tiap saya keliling, sejak saya Menteri Pertahanan kita disegani. Kenapa? Negara besar, kita negara yang sudah membangun, kita terkenal tidak pernah default,"" kata Prabowo, Jumat.Baca juga: Prabowo Klaim Indonesia Disegani, Banyak Kepala Negara Minta Diundang Berkunjung""Banyak ya, negara seperti kita default-nya ada yang 5 kali, 10 kali, ada yang 13 kali default,"" imbuh dia.Tak jarang, negara-negara yang mengalami kegagalan itu adalah negara yang industrinya dan teknologinya maju.Namun, terjadi ketidakstabilan ekonomi di negara tersebut. Sedangkan di Indonesia, pertumbuhan ekonominya relatif berada di atas rerata dunia dengan tingkat inflasi di kisaran sasaran.Hal ini menurut Prabowo, harus disyukuri namun tetap hati-hati.""Situasi yang patut kita syukuri. Bukan untuk kita euforia, bukan untuk kita lengah, justru untuk kita semakin hati-hati,"" ucap dia.Baca juga: Prabowo: Indonesia punya Semua Elemen yang Diperlukan Negara MajuIndonesia lanjut Prabowo, berada dalam posisi yang perlu dijaga bersama.Sebab, kondisi geopolitik dunia dalam keadaan yang penuh ketidakpastian. Banyak ketegangan yang tercipta antar negara, tak terkecuali antara Rusia dan Ukraina.Di sisi lain, banyak pengamat yang menilai terpilihnya Donald Trump sebagai Presiden AS bakal membawa terobosan yang positif.""Di Timur Tengah pun dengan adanya gencatan senjata di Lebanon membawa ke arah yang lebih positif. Kita berharap akan ada terobosan terobosan juga di Gaza,"" tandas Prabowo.",29/11/2024,NEWS
"Bisa Kena Kanker, Perokok Umur 45 Tahun ke Atas Wajib Lakukan Skrining","KOMPAS.com - Rokok adalah salah satu faktor pemicu kanker paru-paru karena mengandung ribuan bahan kimia atau zat beracun, seperti nikotin, tar, dan karbon monoksida.Zat tersebut menyebabkan kerusakan DNA sel paru dan perubahan jaringan paru dalam waktu singkat.Sering kali perokok yang didiagnosis kanker paru terlambat mengenali kondisinya. Bahkan, tak sedikit penderita yang baru mengetahui penyakitnya ketika sudah sangat parah atau stadium akhir.Baca juga: Apa Ciri-ciri Kanker Paru-paru? Berikut Penjelasan Dokter Untuk itu, perokok aktif dianjurkan melakukan pemeriksaan dini atau skrining kanker paru-paru.Divisi Imunologi dan Penyakit Paru Interstisial, Departemen Pulmonologi dan Kedokteran Respirasi FKUI dr. Sita Laksmi Andarini, Ph.D, Sp.P (K) menganjurkan skrining kanker paru para perokok usia 45 tahun ke atas.“Yang wajib skrining adalah kelompok risiko tinggi di atas 45 tahun dengan kondisi perokok aktif atau mantan perokok kurang dari 10 tahun,” kata Sita Laksmi Andarin, seperti ditulis Antara, Jumat (29/11/2024).Dia melanjutkan masih terdapat beberapa sasaran kelompok yang juga wajib untuk melakukan skrining guna mencegah terjadinya kanker paru, seperti para pekerja tambang, pekerja berisiko, dan juga keluarga yang mengidap kanker paru.Baca juga: Apa saja Pengobatan Kanker Paru-paru? Berikut Penjelasan Dokter...Kanker paru-paru menjadi salah satu jenis kanker dengan tingkat kematian yang tinggi di Indonesia. Salah satu penyebab utamanya adalah sulitnya mendeteksi penyakit ini pada tahap awal.Hal ini karena kanker paru tidak menunjukkan gejala khas di awal perkembangannya. Gejala baru muncul ketika penyakit telah memasuki stadium lanjut, khususnya stadium 4.""Kanker paru itu tidak ada gejala sama sekali. Gejala baru muncul kalau sudah ada cairan di paru, seperti sesak napas atau batuk berkepanjangan. Itu biasanya sudah stadium 4,"" jelasnya.Ia menambahkan, tidak adanya gejala pada tahap awal ini disebabkan paru-paru tidak memiliki indra perasa seperti organ lain, sehingga sulit mendeteksi adanya gangguan atau kerusakan sejak dini.Baca juga: Mengenal EBUS, Senjata Baru Mendiagnosis Kanker ParuTingkat kematian akibat kanker paru-paru di Indonesia masih sangat tinggi.Data pada tahun 2021 menunjukkan terdapat 183.368 kasus kanker paru, dengan tingkat kematian mencapai 96 persen.Hal ini menjadi tantangan besar bagi dunia kesehatan untuk meningkatkan kesadaran masyarakat mengenai pentingnya deteksi dini dan pengobatan yang tepat.Itu sebabnya, deteksi dini melalui pemeriksaan rutin dan gaya hidup sehat menjadi langkah penting dalam menekan angka kematian akibat kanker paru-paru.",29/11/2024,HEALTH
Data NASA Ungkap Peran Ruang Hijau dalam Mendinginkan Suhu Kota,"KOMPAS.com - Pohon yang rindang dapat membuat perbedaan besar saat terjadi panas ekstrem. Lantas akan muncul pertanyaan, kira-kira apa yang bakal terjadi jika tidak ada tempat yang teduh?Sebuah studi dari tim peneliti internasional yang dipimpin oleh Yuxiang Li, seorang mahasiswa doktoral di Universitas Nanjing, China berhasil menjawab pertanyaan tersebut dalam studi barunya.Dikutip dari Eureka Alert, Jumat (29/11/2024) data tersebut mengidentifikasi kesenjangan dalam ketahanan global terhadap perubahan iklim di kota belahan bumi selatan yang memiliki ruang hijau jauh lebih sedikit dengan kota di belahan bumi utara.Istilah belahan bumi utara dan belahan bumi selatan digunakan dalam studi ini untuk membedakan negara-negara maju (kebanyakan di belahan bumi utara) dari negara-negara berkembang (kebanyakan di belahan bumi selatan).Baca juga: Kota-kota cenderung lebih panas daripada daerah pedesaan di sekitarnya karena efek pulau panas perkotaan (urban heat island effect).Permukaan gelap yang memerangkap panas seperti trotoar, gedung, dan jalan menyerap panas dari sinar matahari yang meningkatkan suhu kota.Panas ekstrem sendiri menimbulkan ancaman kesehatan yang serius bagi penduduk kota, termasuk dehidrasi, sengatan panas, dan bahkan kematian.Meskipun bukan obat mujarab, tanaman hijau memberikan keteduhan dan melepaskan kelembapan ke udara, sehingga mendinginkan lingkungan sekitar.“Kota-kota dapat secara strategis memprioritaskan pengembangan ruang hijau baru di area yang memiliki lebih sedikit ruang hijau,” kata Christian Braneon, seorang ilmuwan iklim di Goddard Institute for Space Studies milik NASA di New York yang tidak berafiliasi dengan penelitian ini.Dalam studinya, peneliti menganalisis 500 kota terbesar di dunia membandingkan kemampuan kapasitas pendinginan mereka.Peneliti menggunakan data dari satelit Landsat 8, yang dikelola bersama oleh NASA dan Survei Geologi AS, untuk menentukan seberapa efektif ruang hijau dalam mendinginkan setiap kota.Pertama, mereka menghitung suhu permukaan tanah rata-rata untuk bulan terpanas tahun 2018 untuk setiap kota, serta rata-rata bulan terpanas dari tahun 2017 hingga 2019.Selanjutnya, para peneliti menggunakan metrik yang disebut Normalized Difference Vegetation Index (NDVI) untuk memetakan seberapa banyak ruang hijau yang dimiliki setiap kota.Peneliti menemukan bahwa kota-kota di belahan Bumi Selatan hanya memiliki 70 persen kapasitas pendinginan terkait tanaman hijau dari kota-kota di belahan Bumi Utara.Ruang hijau di kota belahan Bumi Selatan rata-rata mendinginkan suhu sekitar 2,5 derajat Celsius.",29/11/2024,LESTARI
Jenazah WNI Korban Kecelakaan Lalu Lintas di Malaysia Telah Dipulangkan ke Indonesia,"JAKARTA, KOMPAS.com - Direktur Perlindungan Warga Negara Indonesia Kementerian Luar Negeri Judha Nugraha mengatakan, jenazah tujuh waga negara Indonesia (WNI) korban kecelakaan lalu lintas di Malaysia telah dipulangkan ke Indonesia.Seluruh jenazah dipulangkan ke kampung halaman mereka masing-masing di Lombok, Nusa Tenggara Barat.""Pemulangan dua jenazah dilaksanakan pada 27 November, disusul tiga jenazah pada 28 November, dan terakhir dua jenazah telah dipulangkan pada 29 November 2024,"" kata Judha dalam keterangannya, Jumat (29/11/2024).Judha menjelaskan, Konsulat Jenderal Republik Indonesia di Kuching menyampaikan apresiasi dan terima kasih kepada semua pihak atas upaya pemulangan 7 jenazah WNI tersebut.Baca juga: Jenazah 7 WNI Korban Kecelakaan di Malaysia Dipulangkan BertahapUcapan itu ditujukan kepada pemerintahan Malaysia di Sarawak maupun pemerintahan Indonesia yang telah membantu proses pengurusan jenazah.""Sehingga pemulangan seluruh jenazah korban ke Indonesia berjalan lancar,"" ujar Judha.Ia berharap, kecelakaan yang menimpa 7 WNI itu menjadi pelajaran agar para WNI yang ingin bekerja di luar negeri berangkat secara prosedural dan melengkapi diri dengan dokumen resmi, seperti paspor, visa/izin kerja, dan kontrak kerja. ""Sehingga jika terjadi hal-hal yang tidak diinginkan, pekerja migran dan keluarga bisa mendapatkan jaminan ketenagakerjaan atau santunan kepada ahli waris,"" tandasnya.Adapun 7 WNI yang meninggal itu adalah pekerja migran asal Kabupaten Lombok Tengah dan Lombok Timur. Baca juga: Belajar dari Kecelakaan di Sarawak yang Menewaskan 7 WNIMereka bertolak ke Malaysia pada 20 November 2024 dengan rute Lombok-Surabaya-Pontianak menggunakan pesawat lalu melanjutkan perjalanan darat menuju Malaysia.Dalam perjalanan, sopir kendaraan tujuh WNI ini menghindari razia petugas kepolisian setempat dan nekat melawan arus lalu lintas.""Akhirnya kendaraan tersebut bertabrakan dengan mobil yang datang dari arah berlawan,"" ucap Judha.",29/11/2024,NEWS
"PBB: Kelaparan, Penjarahan, dan Pemerkosaan di Jalur Gaza Meningkat","JALUR GAZA, KOMPAS.com - Kekacauan di Jalur Gaza kini semakin merajalela. PBB menyebut kelaparan dan penjarahan di Gaza meningkat, bahkan pemerkosaan juga ikut naik.Menurut Ajith Sunghay selaku kepala Kantor Hak Asasi Manusia PBB di wilayah Palestina pada Jumat (29/11/2024), saat ini warga Palestina semakin menderita.""Kali ini saya sangat khawatir dengan maraknya kelaparan,"" kata Sunghay dalam jumpa pers di Jenewa, melalui tautan video dari Amman, dikutip dari AFP.Baca juga: Selama Setahun, Israel Perpanjang Bantuan Dana Bank PalestinaDikatakan, kerusakan ketertiban dan keamanan publik memperburuk situasi, karena terjadi penjarahan dan perebutan sumber daya yang semakin langka.""Kekacauan di Gaza yang kami peringatkan beberapa bulan lalu sudah terjadi,"" tutur dia, menyebut situasi tersebut sepenuhnya dapat diprediksi, diramalkan, dan dicegah.Sunghay mengatakan, banyak perempuan muda yang mengungsi beberapa kali menyatakan, kurangnya ruang aman atau privasi di tenda-tenda darurat mereka.""Yang lain mengatakan bahwa kasus kekerasan berbasis gender dan pemerkosaan, pelecehan anak, dan kekerasan lain dalam masyarakat telah meningkat di tempat penampungan,"" ungkap dia.Hal itu sebagai akibat dari perang Israel-Hamas serta kerusakan penegakan hukum dan ketertiban umum di Jalur Gaza.Tidak hanya itu saja, dia juga menggambarkan situasi di Kota Gaza sebagai tempat yang mengerikan.Baca juga: Rusia Kembalikan 502 Jenazah Tentara Ukraina yang Tewas di Medan PerangPasalnya, ribuan orang terlantar dan berlindung dalam kondisi yang tidak manusiawi.""Mereka juga mengalami kekurangan makanan yang parah dan kondisi sanitasi yang buruk,"" jelasnya.Ia melihat untuk pertama kalinya, puluhan perempuan dan anak-anak di daerah kantong yang terkepung sekarang mengais-ngais di tempat pembuangan sampah raksasa.""Tingkat kerusakan di Gaza semakin parah. Permohonan umum dari semua orang yang saya temui adalah agar ini dihentikan. Untuk mengakhirinya. Cukup,"" tegas dia.Ia mengatakan PBB diblokir untuk memberikan bantuan apa pun kepada 70.000 orang yang diperkirakan masih tinggal di Gaza utara, karena hambatan atau penolakan berulang kali terhadap konvoi kemanusiaan oleh otoritas Israel.Juru bicara Kantor Hak Asasi Manusia PBB Jeremy Laurence menyerukan gencatan senjata segera. ""Pembunuhan harus diakhiri,"" katanya.""Para sandera harus segera dibebaskan dan tanpa syarat. Mereka yang ditahan secara sewenang-wenang harus dibebaskan,"" imbuhnya.Baca juga: Banjir di Malaysia-Thailand Tewaskan 8 Orang, Diperkirakan Lebih Parah dari 2014""Dan segala upaya harus dilakukan untuk segera menyediakan makanan, obat-obatan, dan bantuan vital lainnya dalam jumlah banyak yang sangat dibutuhkan di Gaza,"" terangnya.",29/11/2024,GLOBAL
Survei: Gen Z dan Masyarakat Berpenghasilan Rendah Masih Butuh Asuransi Pribadi,"JAKARTA, KOMPAS.com - Minat masyarakat terhadap asuransi pribadi masih tinggi. Bahkan, tingginya minat berasuransi pribadi justru muncul dari masyarakat berpenghasilan rendah dan Gen Z. Survei yang diselenggarakan Kolaborasi.com dengan tajuk ""Persepsi Publik terhadap Prospek Industri Asuransi Nasional"" mengungkapkan, setidaknya 64,12 persen masyarakat berencana membeli asuransi pribadi.Sementara itu, hanya 5,55 persen yang menyatakan tak berminat memiliki asuransi pribadi, sedangkan 30,28 persen lainnya masih netral atau pikir-pikir.Baca juga: Pendapatan Premi Asuransi Jiwa Tumbuh Tipis, Ini PenopangnyaSHUTTERSTOCK/SEWCREAMSTUDIO Ilustrasi asuransi jiwa. Survei ini juga menyebutkan masyarakat yang berminat membeli asuransi bertujuan untuk melindungi diri dari risiko finansial seperti kehilangan pendapatan, penyakit kritis, kecelakaan kerja, hingga kematian.Selain itu, kelompok masyarakat berpenghasilan rendah tercatat memiliki minat paling tinggi untuk membeli asuransi pribadi dibandingkan dengan kelompok masyarakat berpenghasilan lebih tinggi.Setidaknya 69,07 persen masyarakat dengan penghasilan di bawah Rp 2 juta, tertarik untuk membeli asuransi pribadi.“Hanya 7,56 persen masyarakat dengan penghasilan di bawah Rp 2 juta yang tidak tertarik membeli asuransi pribadi, sementara 24,32 persen menyatakan netral atau masih pikir-pikir untuk membeli asuransi pribadi,” ujar Manajer Riset Kolaborasi.com.Sahli Hamzah dalam pernyataannya di Jakarta, Jumat (29/11/2024).Baca juga: Investasi Kecil untuk Warisan Besar, Ini Alasan Orangtua Harus Mempertimbangkan Asuransi JiwaSahli menjelaskan tingginya minat untuk membeli asuransi pribadi juga terjadi di kelompok masyarakat berpenghasilan Rp 2 juta sampai Rp 4,9 juta sebanyak 59,66 persen dan masyarakat berpenghasilan Rp 5 juta sampai Rp 9,9 juta sebanyak 65 persen.Sebaliknya, masyarakat berpenghasilan Rp 10 juta ke atas justru cenderung tidak tertarik untuk membeli asuransi pribadi.",29/11/2024,MONEY
TNI Pelajari Putusan MK yang Beri Kewenangan KPK Usut Korupsi di Instansi Militer,"JAKARTA, KOMPAS.com - Markas Besar (Mabes) TNI menghormati putusan Mahkamah Konstitusi (MK) mengenai kewenangan Komisi Pemberantasan Korupsi (KPK) menangani perkara korupsi di tubuh militer.Kepala Pusat Penerangan (Kapuspen) TNI Mayjen TNI Hariyanto mengatakan, TNI akan mempelajari terlebih dulu terkait putusan MK tersebut.""TNI menghormati setiap keputusan Mahkamah Konstitusi sebagai lembaga negara yang berwenang di bidang konstitusi. Dalam hal ini, TNI akan mempelajari lebih lanjut putusan tersebut dan implikasinya,"" kata Kapuspen kepada wartawan, Jumat (29/11/2024).Hariyanto mengatakan, TNI juga akan berkoordinasi dengan KPK dan Kejaksaan Agung (Kejagung) serta instansi lain terkait putusan MK ini.Baca juga: Apresiasi Putusan MK, Pimpinan KPK Ungkap Kendala Usut Korupsi yang Libatkan Anggota TNIMenurut dia, hal ini dilakukan untuk memastikan pelaksanaan hukum berjalan sesuai dengan prinsip keadilan dan transparansi, tanpa bertentangan dengan peraturan Undang-Undang lain.""Dan tidak mengganggu tugas pokok TNI dalam menjaga kedaulatan negara,"" ujar Kapuspen.Sebelumnya diberitakan, MK mengabulkan gugatan perkara nomor 87/PUU-XXI/2023 yang meminta agar KPK berhak mengendalikan kasus korupsi di tubuh institusi militer. MK menyatakan Pasal 42 Undang-Undang Nomor 30 Tahun 2002 tentang KPK yang menyatakan KPK berwenang mengkoordinasikan dan mengendalikan penyelidikan, penyidikan, dan penuntutan tindak pidana korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan militer dan peradilan umum, bertentangan dengan UUD 1945 dan tidak memiliki kekuatan hukum mengikat secara bersyarat. Baca juga: Imparsial Minta TNI Taati Putusan MK soal Kewenangan KPK Usut Korupsi di Tubuh MiliterSyarat yang dimaksud sepanjang Pasal tersebut tidak dimaknai ""Komisi berwenang mengkoordinasikan dan mengendalikan penyelidikan, penyidikan, dan penuntutan tindak pidana korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan militer dan peradilan umum sepanjang perkara dimaksud proses penegakan hukumnya ditangani sejak awal dimulai/ditemukan oleh Komisi Pemberantasan Korupsi"". Gugatan ini dilayangkan oleh seorang advokat Gugum Ridho Putra yang menggugat frasa ""mengkoordinasikan dan mengendalikan"" dalam Pasal 42 UU 30/2002 tentang KPK.",29/11/2024,NEWS
"Promo Garuda Indonesia Travel Festival 2024, Khusus Rute Internasional","JAKARTA, KOMPAS.com - Pameran tiket pesawat Garuda Indonesia digelar selama tiga hari di Istora Senayan Jakarta.Sebanyak 18 agen perjalanan berpartisipasi dalam Garuda Indonesia Trave Festival (GATF) 2024 pada 29 November 2024-1 Desember 2024.Selain tiket pesawat domestik, Garuda Indonesia juga menyiapkan promo tiket pesawat internasional ke berbagai negara.Baca juga: Promo Tiket Pesawat Domestik di Garuda Indonesia Travel Festival 2024, ke Bali PP Rp 1,8 jutaan“Kami menyediakan promo tiket pesawat ke Jepang, Korea, dan negara lainnya. Selain itu, kami bekerja sama dengan maskapai partner untuk rute internasional tertentu,” tutur Sasqia Pristia, ketua GATF 2024, kepada Kompas.com, Jumat (29/11/2024).Promo tiket pesawat internasional di GATF 2024 berlaku untuk pemesanan selama pameran berlangsung, yakni 29 November 2024 hingga 1 Desember 2024, untuk penerbangan hingga 30 November 2025.Harga tiket pesawat internasional ini berlaku untuk pergi-pulang (PP) dengan maskapai Garuda Indonesia maupun maskapai partner.KOMPAS.com/Krisda Tiofani Garuda Indonesia Travel Festival (GATF) 2024 digelar di Istora Senayan Jakarta pada 29 November 2024 hingga 1 Desember 2024.Baca juga: Garuda Indonesia Travel Festival 2024 Digelar Hari Ini, Beri Aneka Promo dan CashbackBaca juga: Garuda Indonesia Buka Rute Makassar-Balikpapan, Tarif Rp 700.000-an",29/11/2024,TRAVEL
"Timses Ridwan Kamil-Suswono Gelar Sayembara Lapor Kecurangan, Cak Lontong: Silakan yang Mau Ikut","JAKARTA, KOMPAS.com - Ketua tim pemenangan Pramono Anung-Rano Karno, Lies Hartono alias Cak Lontong memberikan tanggapan soal tim pemenangan Ridwan Kamil-Suswono yang mengadakan sayembara berhadiah Rp 10 juta untuk melaporkan kecurangan dalam Pilkada Jakarta 2024.Ia mempersilakan siapa pun untuk mengikuti sayembara tersebut jika memang mengetahui adanya kecurangan dalam proses Pilkada Jakarta 2024.""Jadi, teman-teman yang mau ikut sayembara silakan karena ada hadiahnya,"" ungkap Cak Lontong, dikutip dari video Kompas.com, Jumat (29/11/2024).Baca juga: Kubu Pramono dan RK Saling Klaim Hasil Pilkada Jakarta, Pakar: Perlu Dimaklumi, Semuanya Ingin MenangMenurut Cak Lontong, proses pelaksanaan Pilkada Jakarta 2024 sudah berjalan sesuai undang-undang.Jika memang ada dugaan kecurangan, itu bisa dilaporkan ke pihak yang punya wewenang.""Buat saya ini kan proses pemilu yang jenjangnya itu sudah sangat terukur, jelas, dan diatur oleh undang-undang,"" kata Cak Lontong.""Jadi apa pun itu ya saya kira kita kembalikan kepada pihak-pihak yang menjaga Pilkada ini lah,"" imbuhnya.Sebelumnya, Tim Pemenangan Nasional Ridwan Kamil dan Suswono (Rido) mengadakan sayembara berhadiah Rp 10 juta untuk mengajak warga Jakarta melaporkan praktik politik uang atau money politic, serta pembagian sembako yang mereka temukan selama Pilkada Jakarta 2024.Surat edaran ini terlihat disebarkan langsung oleh Ketua Tim Pemenang Rido, Ahmad Riza Patria, melalui fitur Instagram story di akun personalnya. Surat edaran ini diketahui disebarkan sekitar pukul 07.10 WIB.Baca juga: Tim Ridwan Kamil dan Suswono Gelar Sayembara Lapor Money Politic di TPS, Dihadiahi Rp 10 Juta“Bagi kader partai pendukung, kader ormas pendukung, kader relawan pendukung, saksi dalam atau saksi luar Rido, serta warga DKI Jakarta yang berhasil menangkap pelaku money politic atau penyebaran sembako yang bertujuan untuk memengaruhi pemilih dan melaporkan kepada Bawaslu serta kepolisian akan mendapatkan hadiah uang tunai senilai Rp 10 juta per kejadian,” tulis surat sayembara dilihat dari akun Instagram @arizapatria, Rabu (27/11/2024).Ariza mengeklaim, sayembara ini dilakukan untuk menjaga kemurnian demokrasi selama Pilkada Jakarta berlangsung, terutama di hari pencoblosan.Sayembara ini terbuka untuk umum. Dan, setiap kejadian politik uang atau pembagian sembako yang dinilai bertujuan untuk mengarahkan pilihan suara akan mendapatkan hadiah Rp 10 juta.Warga juga diarahkan untuk menyampaikan laporan dan temuan mereka ke Posko Pengaduan Jaga Demokrasi melalui nomor Whatsapp 082118143432 atau 087733345100.“Sayembara ini kami sampaikan demi tetap terjaganya pemilihan gubernur dan wakil gubernur DKI Jakarta yang jujur adil dan bermanfaat. Atas perhatiannya, kami ucapkan terima kasih,” kata Ariza di bagian penutup surat.",29/11/2024,NEWS
"Pohon Tumbang di Malang: Dua Orang Tewas, Jalan Ahmad Yani Lumpuh","MALANG, KOMPAS.com - Kemacetan terjadi sepanjang Jalan Ahmad Yani, Kota Malang, Jawa Timur pada Jumat (29/11/2024) malam.Peristiwa ini terjadi akibat pohon tumbang yang terjadi di Jalan Raya Karanglo, Kabupaten Malang. Kemacetan mengular lebih dari 2 kilometer arah Surabaya.Baca juga: Hujan Angin di Surabaya: Pohon Tumbang, Mobil Terjun ke SungaiPohon tumbang tersebut menutupi seluruh badan jalan sehingga tidak bisa dilewati kendaraan bermotor.Para petugas juga melakukan pemotongan pohon untuk dievakuasi. Selain itu, petugas kepolisian juga melakukan pengaturan di pertigaan lampu merah bawah Flyover Arjosari.Kepala Bidang Ruang Terbuka Hijau (Kabid RTH) DLH Kota Malang, Laode KB Al Fitra, menegaskan bahwa lokasi kejadian masuk dalam daerah Kabupaten Malang.""Info dari anggota tim kami bahwa wilayah tersebut masuk Kabupaten Malang,"" kata Laode, Jumat (29/11/2024).Kejadian pohon tumbang tersebut juga menimpa mobil. Dia juga menyampaikan bahwa dalam kejadian tersebut terdapat dua korban meninggal dunia.""Satu sudah di kamar jenazah, satu masih ditangani untuk dievakuasi. Itu informasi dari teman-teman PSC,"" katanya.",29/11/2024,REGIONAL
"Prabowo Klaim Indonesia Disegani, Banyak Kepala Negara Minta Diundang Berkunjung","JAKARTA, KOMPAS.com - Presiden Prabowo Subianto merasa Indonesia begitu disegani saat ia melakukan lawatan luar negeri ke lima negara pada beberapa waktu yang lalu.""Setiap saya keliling Indonesia disegani. Karena saya hadir di KTT tersebut kurang dari sebulan berkuasa kurang satu bulan menjabat saya sudah dihormati, bukan Prabowo yang dihormati, Indonesia yang dihormati,"" kata Prabowo dalam Pertemuan Tahunan Bank Indonesia (PTBI) di Jakarta Jumat (29/11/2024).Prabowo pun menyebutkan bahwa ada banyak pemimpin negara yang minta untuk diundang berkunjung ke Indonesia.Baca juga: Prabowo: Indonesia punya Semua Elemen yang Diperlukan Negara MajuIa mencontohkan, Presiden Angola minta berkunjung ke Indonesia pada Januari 2025, disusul Presiden Kongo satu bulan setelahnya.""Pemimpin Tanzania dan yang saya sudah ketemu waktu di Brasil. Jadi saudara-saudara, benar, ini serius. Saya itu merasa sampai karena mereka begitu melihat ke Indonesia,"" kata Prabowo.Oleh karenanya, ia meminta semuanya bersyukur lantaran Indonesia masih sangat diperhitungkan. Prabowo pun mengaku menikmati suasana itu, sebagai hasil dari kerja keras pemerintah-pemerintah sebelumnya.Baca juga: Prabowo Sebut Elite Harus Rukun agar Negara Dapat Bangkit""Dalam forum ekonomi tersebut kenapa Indonesia dihormati? Indonesia dihormati karena ekonomi Indonesia dianggap berhasil dengan sangat cemerlang. Jangan terlalu sering tepuk tangan, kampanye udah selesai hehehe,"" kata dia berseloroh.Diketahui, Prabowo melawat selama dua pekan lebih ke China, AS, Peru, Brasil, Inggris, dan Abu Dhabi. Dalam lawatannya itu, ia menghadiri KTT APEC dan KTT G20, bertemu dengan petinggi negara asal dan pemimpin negara undangan.",29/11/2024,NEWS
Mengapa Sepatu Sportstyle Populer di Komunitas Urban?,"KOMPAS.com- Popularitas tren sportstyle belakangan kian meningkat. Sportstyle merupakan perpaduan antara elemen olahraga dan lifestyle, menciptakan sesuatu yang fungsional sekaligus stylish.Salah satu item fashion sportstyle yang paling diminati kaum urban dan pencinta fashion adalah sepatu.Hal inilah yang kemudian mengantarkan merek sepatu olahraga lokal ternama, Eagle melakukan rebranding, dalam upaya menghadapi perubahan minat pasar di kalangan kaum urban.Baca juga: Tren Sportstyle Masyarakat Urban Jadi Inspirasi Eagle Lakukan RebrandingNamun sebenarnya, apa yang membuat sepatu sportstyle begitu populer?Menurut Influencer Fesyen, Isser James, tren ini mulai naik daun semenjak masa pandemi.“Akibat pandemi, kita dikurung selama dua tahun lebih, sampai akhirnya kita muncul keinginan untuk melakukan olahraga dan kegiatan lainnya di luar ruangan,” ujarnya dalam acara Eagle Rebranding, di Gedung Tribrata Polri, Jakarta Selatan, pada Jumat (29/11/2024).“Lalu ketika pandemi selesai, kita terdorong untuk lari, naik gunung, dan melakukan apa pun yang berhubungan dengan kegiatan outdoor,” tambahnya.Menurut Isser, keinginan itulah yang mendorong industri alas kaki memproduksi sepatu sportstyle.Kompas.com/Rebecca Rosevanya Influencer, Isser James, Boim Lennon, dan Talbot Rio dalam acara Eagle Rebranding, di Gedung Tribrata Polri, Jakarta Selatan, pada Jumat (29/11/2024).Sementara menurut Influencer Fesyen, Boim Lenno, tren ini semakin populer karena sifatnya yang praktis dan dinamis.Sebelum adanya sportstyle, seringkali kita dipersulit untuk membawa dua pasang sepatu ketika berolahraga. Satu pasang untuk olahraga, dan satu pasang untuk kegiatan lainnya.“Sekarang banyak brand yang membuat sepatu olahraga yang juga bisa dipake untuk styling, jadi gampang untuk di-mix and match dengan outfit,” ucap Boim.Baca juga: 5 Cara Merawat Sepatu Sportstyle, Jangan Terlalu Sering DicuciPendapat ini juga disetujui oleh Influencer Fesyen, Talbot Rio, yang punya pengalaman serupa.“Kalau setelah olahraga pengin nongkrong, tampilannya tuh enggak olahraga banget, tapi masih bisa keep up dengan trend dan terlihat keren,” lontarnya.“Menurut saya ke depannya tren sportstyle ini akan sangat besar di tahun 2025. Sudah kelihatan sekarang, dengan berbagai brand yang mulai bergerak ke arah sana,” tambahnya.",29/11/2024,LIFESTYLE
